,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
101,Atlantic,47.59519409523811,-122.30414152380946,Judkins Park and Playfield,47.593098875295226,-122.30348188220185,Park
102,Atlantic,47.59519409523811,-122.30414152380946,Seattle Fish Guys,47.598860406087944,-122.30245230001286,Seafood Restaurant
103,Atlantic,47.59519409523811,-122.30414152380946,San Fernando Roasted Peruvian Chicken,47.593940557006746,-122.30985713383448,South American Restaurant
104,Atlantic,47.59519409523811,-122.30414152380946,Chef Cafe,47.59934771036781,-122.30303882356256,African Restaurant
105,Atlantic,47.59519409523811,-122.30414152380946,Chase Bank,47.599136,-122.302543,Bank
106,Atlantic,47.59519409523811,-122.30414152380946,Starbucks,47.599435131778925,-122.30202961307812,Coffee Shop
107,Atlantic,47.59519409523811,-122.30414152380946,Franz Bakery Outlet,47.598649087214824,-122.30594223899855,Bakery
108,Atlantic,47.59519409523811,-122.30414152380946,Moonlight Cafe,47.59900599464446,-122.30658041474894,Vietnamese Restaurant
109,Atlantic,47.59519409523811,-122.30414152380946,Café Weekend,47.594621000000004,-122.30963,Café
110,Atlantic,47.59519409523811,-122.30414152380946,Judkins Park Skatespot,47.59197114368282,-122.30420595806392,Skate Park
111,Atlantic,47.59519409523811,-122.30414152380946,Subway,47.598631119403,-122.30149130675886,Sandwich Place
112,Atlantic,47.59519409523811,-122.30414152380946,Taco Del Mar,47.599198433717156,-122.30167678782168,Burrito Place
113,Atlantic,47.59519409523811,-122.30414152380946,Artspace Hiawatha Lofts,47.59461513913294,-122.30966467339246,Residential Building (Apartment / Condo)
114,Atlantic,47.59519409523811,-122.30414152380946,Mountain To Sound Trail,47.59126193078996,-122.30406081188075,Trail
115,Atlantic,47.59519409523811,-122.30414152380946,Studio Blue,47.593781,-122.309675,Dance Studio
116,Atlantic,47.59519409523811,-122.30414152380946,Emerald City Cleaners,47.594464,-122.31013,Dry Cleaner
117,Atlantic,47.59519409523811,-122.30414152380946,The Green Door Seattle,47.59499,-122.31044,Marijuana Dispensary
118,Atlantic,47.59519409523811,-122.30414152380946,Mediterranean Mix,47.599464000000005,-122.303067,Mediterranean Restaurant
119,Belltown,47.615326641975294,-122.34500145679021,FOB Poke Bar,47.613829,-122.343809,Poke Place
120,Belltown,47.615326641975294,-122.34500145679021,Shiro's,47.61478173286192,-122.34738623053931,Sushi Restaurant
121,Belltown,47.615326641975294,-122.34500145679021,Rocco's,47.61395634040444,-122.34530418231135,Pizza Place
122,Belltown,47.615326641975294,-122.34500145679021,Bangrak Market,47.61429060946862,-122.34653057854129,Thai Restaurant
123,Belltown,47.615326641975294,-122.34500145679021,CrossFit Felix,47.61565190410052,-122.34238990383515,Gym
124,Belltown,47.615326641975294,-122.34500145679021,La Parisienne,47.61691056871237,-122.34654259049594,Bakery
125,Belltown,47.615326641975294,-122.34500145679021,Karaage Setsuna,47.61513335258734,-122.3475800701562,Japanese Restaurant
126,Belltown,47.615326641975294,-122.34500145679021,Tavolàta,47.61431309771801,-122.34667656072256,Italian Restaurant
127,Belltown,47.615326641975294,-122.34500145679021,G.H. Pasta Co.,47.616738511756324,-122.34227607219455,Restaurant
128,Belltown,47.615326641975294,-122.34500145679021,Umi Sake House,47.61328539995486,-122.3461109522722,Sushi Restaurant
129,Belltown,47.615326641975294,-122.34500145679021,Biscuit Bitch - Belltown,47.614891697736034,-122.3451303835674,Breakfast Spot
130,Belltown,47.615326641975294,-122.34500145679021,Bathtub Gin & Co.,47.61315,-122.345083,Speakeasy
131,Belltown,47.615326641975294,-122.34500145679021,Fulcrum Coffee,47.61659169858447,-122.34212314458136,Coffee Shop
132,Belltown,47.615326641975294,-122.34500145679021,Navy Strength,47.61535513110767,-122.34809571830387,Cocktail Bar
133,Belltown,47.615326641975294,-122.34500145679021,Jupiter,47.613132987972485,-122.34384190602209,Bar
134,Belltown,47.615326641975294,-122.34500145679021,Macrina Bakery,47.61440633728934,-122.34815542094019,Bakery
135,Belltown,47.615326641975294,-122.34500145679021,Korean Bamboo,47.6147321108444,-122.34458553977659,Korean Restaurant
136,Belltown,47.615326641975294,-122.34500145679021,Have A Heart Belltown,47.6128597,-122.3444025,Marijuana Dispensary
137,Belltown,47.615326641975294,-122.34500145679021,Top Pot Doughnuts,47.615075556219956,-122.34134098331202,Donut Shop
138,Belltown,47.615326641975294,-122.34500145679021,Cinerama,47.6142,-122.34135,Movie Theater
139,Belltown,47.615326641975294,-122.34500145679021,Shorty's,47.614409,-122.346068,Dive Bar
140,Belltown,47.615326641975294,-122.34500145679021,Local Pho,47.614622550807184,-122.34462521928236,Vietnamese Restaurant
141,Belltown,47.615326641975294,-122.34500145679021,Wasabi Sushi & Izakaya,47.61420545882687,-122.3459864893383,Sushi Restaurant
142,Belltown,47.615326641975294,-122.34500145679021,Mud Bay,47.612213151936544,-122.34479867723488,Pet Store
143,Belltown,47.615326641975294,-122.34500145679021,Big Picture Seattle,47.61465514762558,-122.34939513729378,Movie Theater
144,Belltown,47.615326641975294,-122.34500145679021,Jerk Shack,47.615028212301716,-122.3490370490756,Caribbean Restaurant
145,Belltown,47.615326641975294,-122.34500145679021,TeKu Tavern,47.61858580046448,-122.34601080358608,Beer Bar
146,Belltown,47.615326641975294,-122.34500145679021,Downtown Spirits,47.61789165649072,-122.34181480157089,Liquor Store
147,Belltown,47.615326641975294,-122.34500145679021,QQ Taiwanese Bites,47.6170980251311,-122.34302350644083,Taiwanese Restaurant
148,Belltown,47.615326641975294,-122.34500145679021,Rabbit Hole,47.61371632678051,-122.34500598015072,Dive Bar
149,Belltown,47.615326641975294,-122.34500145679021,Buckley's in Belltown,47.61457099,-122.34699591,Sports Bar
150,Belltown,47.615326641975294,-122.34500145679021,Cyclops,47.6146702730601,-122.34873181844992,Bar
151,Belltown,47.615326641975294,-122.34500145679021,Some Random Bar,47.61563929397366,-122.35002582300677,Bar
152,Belltown,47.615326641975294,-122.34500145679021,Cloudburst Brewing,47.61156493673511,-122.34521190397878,Brewery
153,Belltown,47.615326641975294,-122.34500145679021,Amazon Go,47.616173426292185,-122.33978033065796,Convenience Store
154,Belltown,47.615326641975294,-122.34500145679021,Vine St. Market,47.61667200889574,-122.34525042632937,Beer Store
